#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   109   0.292142E+04  -0.282326E+02   0.346040E-03  -0.282326E+02   0.850718E+00  -0.579114E-06   0.346040E-03  -0.579114E-06   0.879615E-07
   110   0.295364E+04  -0.288494E+02   0.342055E-03  -0.288494E+02   0.862631E+00  -0.557026E-06   0.342055E-03  -0.557026E-06   0.873797E-07
   111   0.298601E+04  -0.294625E+02   0.338124E-03  -0.294625E+02   0.874330E+00  -0.540916E-06   0.338124E-03  -0.540916E-06   0.868023E-07
   112   0.301854E+04  -0.300712E+02   0.334249E-03  -0.300712E+02   0.885742E+00  -0.530565E-06   0.334249E-03  -0.530565E-06   0.862293E-07
   113   0.305128E+04  -0.306741E+02   0.330427E-03  -0.306741E+02   0.896867E+00  -0.525518E-06   0.330427E-03  -0.525518E-06   0.856607E-07
   114   0.308409E+04  -0.312704E+02   0.326660E-03  -0.312704E+02   0.907630E+00  -0.525318E-06   0.326660E-03  -0.525318E-06   0.850964E-07
   115   0.311713E+04  -0.318600E+02   0.322947E-03  -0.318600E+02   0.918181E+00  -0.529510E-06   0.322947E-03  -0.529510E-06   0.845364E-07
   116   0.315016E+04  -0.324422E+02   0.319288E-03  -0.324422E+02   0.928297E+00  -0.537636E-06   0.319288E-03  -0.537636E-06   0.839808E-07
   117   0.318348E+04  -0.330162E+02   0.315683E-03  -0.330162E+02   0.938053E+00  -0.549242E-06   0.315683E-03  -0.549242E-06   0.834296E-07
   118   0.321694E+04  -0.335828E+02   0.312133E-03  -0.335828E+02   0.947597E+00  -0.563870E-06   0.312133E-03  -0.563870E-06   0.828826E-07
   119   0.325040E+04  -0.341397E+02   0.308636E-03  -0.341397E+02   0.956782E+00  -0.581065E-06   0.308636E-03  -0.581065E-06   0.823400E-07
   120   0.328399E+04  -0.346869E+02   0.305194E-03  -0.346869E+02   0.965459E+00  -0.600371E-06   0.305194E-03  -0.600371E-06   0.818017E-07
   121   0.331758E+04  -0.352243E+02   0.301806E-03  -0.352243E+02   0.973925E+00  -0.621332E-06   0.301806E-03  -0.621332E-06   0.812677E-07
   122   0.335122E+04  -0.357513E+02   0.298471E-03  -0.357513E+02   0.981885E+00  -0.643491E-06   0.298471E-03  -0.643491E-06   0.807380E-07
   123   0.338494E+04  -0.362678E+02   0.295191E-03  -0.362678E+02   0.989411E+00  -0.666392E-06   0.295191E-03  -0.666392E-06   0.802126E-07
   124   0.341871E+04  -0.367708E+02   0.291965E-03  -0.367708E+02   0.996580E+00  -0.689579E-06   0.291965E-03  -0.689579E-06   0.796915E-07
   125   0.345247E+04  -0.372625E+02   0.288792E-03  -0.372625E+02   0.100332E+01  -0.712597E-06   0.288792E-03  -0.712597E-06   0.791747E-07
   126   0.348629E+04  -0.377422E+02   0.285674E-03  -0.377422E+02   0.100970E+01  -0.734989E-06   0.285674E-03  -0.734989E-06   0.786621E-07
   127   0.352009E+04  -0.382090E+02   0.282609E-03  -0.382090E+02   0.101557E+01  -0.756298E-06   0.282609E-03  -0.756298E-06   0.781537E-07
   128   0.355387E+04  -0.386623E+02   0.279598E-03  -0.386623E+02   0.102109E+01  -0.776070E-06   0.279598E-03  -0.776070E-06   0.776496E-07
   129   0.358771E+04  -0.391013E+02   0.276641E-03  -0.391013E+02   0.102610E+01  -0.793847E-06   0.276641E-03  -0.793847E-06   0.771498E-07
   130   0.362154E+04  -0.395252E+02   0.273737E-03  -0.395252E+02   0.103061E+01  -0.809174E-06   0.273737E-03  -0.809174E-06   0.766542E-07
   131   0.365534E+04  -0.399355E+02   0.270888E-03  -0.399355E+02   0.103476E+01  -0.821701E-06   0.270888E-03  -0.821701E-06   0.761628E-07
   132   0.368920E+04  -0.403293E+02   0.268090E-03  -0.403293E+02   0.103841E+01  -0.831506E-06   0.268090E-03  -0.831506E-06   0.756756E-07
   133   0.372297E+04  -0.407087E+02   0.265342E-03  -0.407087E+02   0.104162E+01  -0.838773E-06   0.265342E-03  -0.838773E-06   0.751925E-07
   134   0.375672E+04  -0.410695E+02   0.262644E-03  -0.410695E+02   0.104441E+01  -0.843687E-06   0.262644E-03  -0.843687E-06   0.747136E-07
   135   0.379045E+04  -0.414146E+02   0.259992E-03  -0.414146E+02   0.104670E+01  -0.846432E-06   0.259992E-03  -0.846432E-06   0.742388E-07
   136   0.382402E+04  -0.417403E+02   0.257387E-03  -0.417403E+02   0.104848E+01  -0.847192E-06   0.257387E-03  -0.847192E-06   0.737681E-07
   137   0.385759E+04  -0.420489E+02   0.254825E-03  -0.420489E+02   0.104984E+01  -0.846152E-06   0.254825E-03  -0.846152E-06   0.733014E-07
   138   0.389106E+04  -0.423390E+02   0.252305E-03  -0.423390E+02   0.105069E+01  -0.843497E-06   0.252305E-03  -0.843497E-06   0.728387E-07
   139   0.392430E+04  -0.426097E+02   0.249826E-03  -0.426097E+02   0.105119E+01  -0.839410E-06   0.249826E-03  -0.839410E-06   0.723799E-07
   140   0.395761E+04  -0.428621E+02   0.247385E-03  -0.428621E+02   0.105112E+01  -0.834076E-06   0.247385E-03  -0.834076E-06   0.719252E-07
   141   0.399069E+04  -0.430937E+02   0.244983E-03  -0.430937E+02   0.105054E+01  -0.827680E-06   0.244983E-03  -0.827680E-06   0.714743E-07
   142   0.402376E+04  -0.433055E+02   0.242615E-03  -0.433055E+02   0.104954E+01  -0.820405E-06   0.242615E-03  -0.820405E-06   0.710273E-07
   143   0.405675E+04  -0.434974E+02   0.240282E-03  -0.434974E+02   0.104811E+01  -0.812436E-06   0.240282E-03  -0.812436E-06   0.705842E-07
   144   0.408952E+04  -0.436687E+02   0.237982E-03  -0.436687E+02   0.104618E+01  -0.803958E-06   0.237982E-03  -0.803958E-06   0.701449E-07
   145   0.412213E+04  -0.438188E+02   0.235712E-03  -0.438188E+02   0.104390E+01  -0.795155E-06   0.235712E-03  -0.795155E-06   0.697094E-07
   146   0.415482E+04  -0.439477E+02   0.233471E-03  -0.439477E+02   0.104104E+01  -0.786212E-06   0.233471E-03  -0.786212E-06   0.692776E-07
   147   0.418714E+04  -0.440539E+02   0.231257E-03  -0.440539E+02   0.103784E+01  -0.777312E-06   0.231257E-03  -0.777312E-06   0.688496E-07
