#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   162   0.464757E+04  -0.428191E+02   0.201337E-03  -0.428191E+02   0.942538E+00  -0.703517E-06   0.201337E-03  -0.703517E-06   0.634753E-07
   163   0.467641E+04  -0.425376E+02   0.199470E-03  -0.425376E+02   0.933570E+00  -0.701153E-06   0.199470E-03  -0.701153E-06   0.631028E-07
   164   0.470480E+04  -0.422312E+02   0.197624E-03  -0.422312E+02   0.924397E+00  -0.698768E-06   0.197624E-03  -0.698768E-06   0.627335E-07
   165   0.473304E+04  -0.418978E+02   0.195800E-03  -0.418978E+02   0.914944E+00  -0.696300E-06   0.195800E-03  -0.696300E-06   0.623675E-07
   166   0.476097E+04  -0.415388E+02   0.193998E-03  -0.415388E+02   0.905361E+00  -0.693687E-06   0.193998E-03  -0.693687E-06   0.620046E-07
   167   0.478867E+04  -0.411549E+02   0.192218E-03  -0.411549E+02   0.895423E+00  -0.690868E-06   0.192218E-03  -0.690868E-06   0.616450E-07
   168   0.481592E+04  -0.407440E+02   0.190460E-03  -0.407440E+02   0.885501E+00  -0.687781E-06   0.190460E-03  -0.687781E-06   0.612885E-07
   169   0.484287E+04  -0.403060E+02   0.188724E-03  -0.403060E+02   0.875299E+00  -0.684363E-06   0.188724E-03  -0.684363E-06   0.609351E-07
   170   0.486951E+04  -0.398424E+02   0.187010E-03  -0.398424E+02   0.865039E+00  -0.680555E-06   0.187010E-03  -0.680555E-06   0.605848E-07
   171   0.489569E+04  -0.393510E+02   0.185319E-03  -0.393510E+02   0.854721E+00  -0.676293E-06   0.185319E-03  -0.676293E-06   0.602377E-07
   172   0.492149E+04  -0.388332E+02   0.183649E-03  -0.388332E+02   0.844269E+00  -0.671516E-06   0.183649E-03  -0.671516E-06   0.598936E-07
   173   0.494683E+04  -0.382891E+02   0.182003E-03  -0.382891E+02   0.833684E+00  -0.666163E-06   0.182003E-03  -0.666163E-06   0.595525E-07
   174   0.497187E+04  -0.377186E+02   0.180378E-03  -0.377186E+02   0.823262E+00  -0.660171E-06   0.180378E-03  -0.660171E-06   0.592144E-07
   175   0.499652E+04  -0.371210E+02   0.178776E-03  -0.371210E+02   0.812707E+00  -0.653480E-06   0.178776E-03  -0.653480E-06   0.588793E-07
   176   0.502064E+04  -0.364963E+02   0.177197E-03  -0.364963E+02   0.802239E+00  -0.646042E-06   0.177197E-03  -0.646042E-06   0.585471E-07
   177   0.504437E+04  -0.358459E+02   0.175640E-03  -0.358459E+02   0.791785E+00  -0.637876E-06   0.175640E-03  -0.637876E-06   0.582179E-07
