#    L    TT             EE             BB             TE          
   204   0.549853E+04   0.658005E+00   0.121133E-01  -0.862095E+01
   205   0.550807E+04   0.661883E+00   0.122456E-01  -0.730625E+01
   206   0.551695E+04   0.666758E+00   0.123786E-01  -0.597263E+01
   207   0.552531E+04   0.672649E+00   0.125122E-01  -0.462050E+01
   208   0.553294E+04   0.679609E+00   0.126463E-01  -0.325038E+01
   209   0.553998E+04   0.687657E+00   0.127811E-01  -0.186264E+01
   210   0.554643E+04   0.696845E+00   0.129164E-01  -0.458160E+00
   211   0.555230E+04   0.707202E+00   0.130523E-01   0.963014E+00
   212   0.555743E+04   0.718755E+00   0.131887E-01   0.239995E+01
   213   0.556205E+04   0.731549E+00   0.133256E-01   0.385271E+01
   214   0.556600E+04   0.745574E+00   0.134631E-01   0.532009E+01
   215   0.556937E+04   0.761023E+00   0.136011E-01   0.680136E+01
   216   0.557208E+04   0.777709E+00   0.137396E-01   0.829704E+01
   217   0.557427E+04   0.795787E+00   0.138786E-01   0.980516E+01
   218   0.557580E+04   0.815254E+00   0.140180E-01   0.113259E+02
   219   0.557675E+04   0.836111E+00   0.141579E-01   0.128603E+02
   220   0.557710E+04   0.858504E+00   0.142983E-01   0.144039E+02
   221   0.557687E+04   0.882357E+00   0.144391E-01   0.159589E+02
   222   0.557605E+04   0.907819E+00   0.145803E-01   0.175239E+02
   223   0.557449E+04   0.934813E+00   0.147219E-01   0.190995E+02
   224   0.557249E+04   0.963339E+00   0.148639E-01   0.206822E+02
   225   0.556983E+04   0.993543E+00   0.150062E-01   0.222748E+02
   226   0.556659E+04   0.102542E+01   0.151489E-01   0.238737E+02
   227   0.556267E+04   0.105898E+01   0.152920E-01   0.254804E+02
   228   0.555825E+04   0.109421E+01   0.154354E-01   0.270934E+02
   229   0.555323E+04   0.113119E+01   0.155791E-01   0.287112E+02
   230   0.554756E+04   0.116992E+01   0.157231E-01   0.303345E+02
   231   0.554122E+04   0.121047E+01   0.158674E-01   0.319628E+02
   232   0.553436E+04   0.125275E+01   0.160119E-01   0.335944E+02
   233   0.552692E+04   0.129701E+01   0.161567E-01   0.352279E+02
   234   0.551874E+04   0.134308E+01   0.163017E-01   0.368640E+02
   235   0.551004E+04   0.139104E+01   0.164469E-01   0.385013E+02
   236   0.550068E+04   0.144088E+01   0.165922E-01   0.401398E+02
   237   0.549073E+04   0.149268E+01   0.167378E-01   0.417781E+02
   238   0.548019E+04   0.154652E+01   0.168835E-01   0.434161E+02
   239   0.546914E+04   0.160224E+01   0.170293E-01   0.450530E+02
   240   0.545734E+04   0.165992E+01   0.171752E-01   0.466868E+02
   241   0.544511E+04   0.171969E+01   0.173212E-01   0.483181E+02
   242   0.543229E+04   0.178142E+01   0.174673E-01   0.499462E+02
   243   0.541887E+04   0.184526E+01   0.176134E-01   0.515697E+02
   244   0.540487E+04   0.191111E+01   0.177596E-01   0.531893E+02
   245   0.539028E+04   0.197906E+01   0.179057E-01   0.548020E+02
   246   0.537517E+04   0.204911E+01   0.180519E-01   0.564093E+02
   247   0.535955E+04   0.212118E+01   0.181980E-01   0.580091E+02
   248   0.534333E+04   0.219564E+01   0.183441E-01   0.596013E+02
   249   0.532668E+04   0.227196E+01   0.184901E-01   0.611852E+02
