#    L    TT             EE             TE             PP             TP          
   102   0.269995E+04   0.760315E+00  -0.238258E+02   0.424577E+07   0.635844E+04
   103   0.273108E+04   0.773819E+00  -0.244613E+02   0.421863E+07   0.628334E+04
   104   0.276242E+04   0.787178E+00  -0.250944E+02   0.419166E+07   0.620966E+04
   105   0.279392E+04   0.800319E+00  -0.257267E+02   0.416484E+07   0.613734E+04
   106   0.282563E+04   0.813317E+00  -0.263575E+02   0.413819E+07   0.606629E+04
   107   0.285726E+04   0.826025E+00  -0.269852E+02   0.411171E+07   0.599644E+04
   108   0.288926E+04   0.838516E+00  -0.276108E+02   0.408540E+07   0.592771E+04
   109   0.292142E+04   0.850718E+00  -0.282326E+02   0.405926E+07   0.586003E+04
   110   0.295364E+04   0.862631E+00  -0.288494E+02   0.403330E+07   0.579332E+04
   111   0.298601E+04   0.874330E+00  -0.294625E+02   0.400751E+07   0.572751E+04
   112   0.301854E+04   0.885742E+00  -0.300712E+02   0.398191E+07   0.566260E+04
   113   0.305128E+04   0.896867E+00  -0.306741E+02   0.395649E+07   0.559858E+04
   114   0.308409E+04   0.907630E+00  -0.312704E+02   0.393124E+07   0.553545E+04
   115   0.311713E+04   0.918181E+00  -0.318600E+02   0.390618E+07   0.547321E+04
   116   0.315016E+04   0.928297E+00  -0.324422E+02   0.388130E+07   0.541187E+04
   117   0.318348E+04   0.938053E+00  -0.330162E+02   0.385660E+07   0.535142E+04
   118   0.321694E+04   0.947597E+00  -0.335828E+02   0.383207E+07   0.529186E+04
   119   0.325040E+04   0.956782E+00  -0.341397E+02   0.380773E+07   0.523320E+04
   120   0.328399E+04   0.965459E+00  -0.346869E+02   0.378357E+07   0.517543E+04
   121   0.331758E+04   0.973925E+00  -0.352243E+02   0.375959E+07   0.511856E+04
   122   0.335122E+04   0.981885E+00  -0.357513E+02   0.373579E+07   0.506258E+04
   123   0.338494E+04   0.989411E+00  -0.362678E+02   0.371217E+07   0.500749E+04
   124   0.341871E+04   0.996580E+00  -0.367708E+02   0.368874E+07   0.495330E+04
   125   0.345247E+04   0.100332E+01  -0.372625E+02   0.366548E+07   0.490000E+04
   126   0.348629E+04   0.100970E+01  -0.377422E+02   0.364241E+07   0.484760E+04
   127   0.352009E+04   0.101557E+01  -0.382090E+02   0.361951E+07   0.479610E+04
   128   0.355387E+04   0.102109E+01  -0.386623E+02   0.359680E+07   0.474548E+04
   129   0.358771E+04   0.102610E+01  -0.391013E+02   0.357427E+07   0.469577E+04
   130   0.362154E+04   0.103061E+01  -0.395252E+02   0.355192E+07   0.464695E+04
   131   0.365534E+04   0.103476E+01  -0.399355E+02   0.352975E+07   0.459902E+04
   132   0.368920E+04   0.103841E+01  -0.403293E+02   0.350777E+07   0.455196E+04
   133   0.372297E+04   0.104162E+01  -0.407087E+02   0.348596E+07   0.450574E+04
   134   0.375672E+04   0.104441E+01  -0.410695E+02   0.346433E+07   0.446033E+04
   135   0.379045E+04   0.104670E+01  -0.414146E+02   0.344288E+07   0.441571E+04
   136   0.382402E+04   0.104848E+01  -0.417403E+02   0.342160E+07   0.437185E+04
   137   0.385759E+04   0.104984E+01  -0.420489E+02   0.340050E+07   0.432872E+04
   138   0.389106E+04   0.105069E+01  -0.423390E+02   0.337957E+07   0.428629E+04
   139   0.392430E+04   0.105119E+01  -0.426097E+02   0.335882E+07   0.424454E+04
   140   0.395761E+04   0.105112E+01  -0.428621E+02   0.333823E+07   0.420344E+04
   141   0.399069E+04   0.105054E+01  -0.430937E+02   0.331782E+07   0.416296E+04
   142   0.402376E+04   0.104954E+01  -0.433055E+02   0.329757E+07   0.412307E+04
   143   0.405675E+04   0.104811E+01  -0.434974E+02   0.327749E+07   0.408375E+04
   144   0.408952E+04   0.104618E+01  -0.436687E+02   0.325758E+07   0.404497E+04
   145   0.412213E+04   0.104390E+01  -0.438188E+02   0.323784E+07   0.400670E+04
   146   0.415482E+04   0.104104E+01  -0.439477E+02   0.321826E+07   0.396892E+04
   147   0.418714E+04   0.103784E+01  -0.440539E+02   0.319884E+07   0.393159E+04
   148   0.421930E+04   0.103414E+01  -0.441390E+02   0.317958E+07   0.389470E+04
   149   0.425140E+04   0.103001E+01  -0.442014E+02   0.316049E+07   0.385820E+04
   150   0.428321E+04   0.102553E+01  -0.442391E+02   0.314155E+07   0.382209E+04
   151   0.431487E+04   0.102063E+01  -0.442550E+02   0.312278E+07   0.378632E+04
   152   0.434623E+04   0.101523E+01  -0.442476E+02   0.310416E+07   0.375090E+04
   153   0.437745E+04   0.100948E+01  -0.442147E+02   0.308569E+07   0.371583E+04
   154   0.440846E+04   0.100338E+01  -0.441585E+02   0.306739E+07   0.368112E+04
   155   0.443924E+04   0.996934E+00  -0.440783E+02   0.304923E+07   0.364675E+04
   156   0.446965E+04   0.990133E+00  -0.439741E+02   0.303123E+07   0.361274E+04
   157   0.449999E+04   0.982981E+00  -0.438443E+02   0.301338E+07   0.357909E+04
   158   0.453003E+04   0.975552E+00  -0.436898E+02   0.299569E+07   0.354579E+04
   159   0.455977E+04   0.967697E+00  -0.435104E+02   0.297814E+07   0.351285E+04
   160   0.458929E+04   0.959565E+00  -0.433048E+02   0.296074E+07   0.348027E+04
   161   0.461858E+04   0.951228E+00  -0.430744E+02   0.294350E+07   0.344804E+04
   162   0.464757E+04   0.942538E+00  -0.428191E+02   0.292639E+07   0.341618E+04
   163   0.467641E+04   0.933570E+00  -0.425376E+02   0.290944E+07   0.338469E+04
   164   0.470480E+04   0.924397E+00  -0.422312E+02   0.289263E+07   0.335355E+04
   165   0.473304E+04   0.914944E+00  -0.418978E+02   0.287596E+07   0.332278E+04
   166   0.476097E+04   0.905361E+00  -0.415388E+02   0.285943E+07   0.329238E+04
   167   0.478867E+04   0.895423E+00  -0.411549E+02   0.284305E+07   0.326235E+04
   168   0.481592E+04   0.885501E+00  -0.407440E+02   0.282681E+07   0.323268E+04
   169   0.484287E+04   0.875299E+00  -0.403060E+02   0.281071E+07   0.320339E+04
   170   0.486951E+04   0.865039E+00  -0.398424E+02   0.279475E+07   0.317446E+04
   171   0.489569E+04   0.854721E+00  -0.393510E+02   0.277892E+07   0.314591E+04
   172   0.492149E+04   0.844269E+00  -0.388332E+02   0.276323E+07   0.311773E+04
   173   0.494683E+04   0.833684E+00  -0.382891E+02   0.274768E+07   0.308993E+04
   174   0.497187E+04   0.823262E+00  -0.377186E+02   0.273226E+07   0.306251E+04
   175   0.499652E+04   0.812707E+00  -0.371210E+02   0.271697E+07   0.303546E+04
   176   0.502064E+04   0.802239E+00  -0.364963E+02   0.270182E+07   0.300879E+04
   177   0.504437E+04   0.791785E+00  -0.358459E+02   0.268680E+07   0.298249E+04
   178   0.506765E+04   0.781567E+00  -0.351685E+02   0.267191E+07   0.295655E+04
   179   0.509047E+04   0.771286E+00  -0.344639E+02   0.265715E+07   0.293096E+04
   180   0.511298E+04   0.761165E+00  -0.337337E+02   0.264251E+07   0.290572E+04
   181   0.513496E+04   0.751203E+00  -0.329779E+02   0.262800E+07   0.288081E+04
   182   0.515649E+04   0.741473E+00  -0.321950E+02   0.261362E+07   0.285622E+04
   183   0.517749E+04   0.731901E+00  -0.313866E+02   0.259935E+07   0.283195E+04
   184   0.519812E+04   0.722559E+00  -0.305517E+02   0.258521E+07   0.280798E+04
   185   0.521829E+04   0.713595E+00  -0.296928E+02   0.257120E+07   0.278432E+04
   186   0.523764E+04   0.704869E+00  -0.288067E+02   0.255730E+07   0.276094E+04
   187   0.525683E+04   0.696519E+00  -0.278951E+02   0.254352E+07   0.273784E+04
   188   0.527551E+04   0.688530E+00  -0.269594E+02   0.252985E+07   0.271501E+04
   189   0.529358E+04   0.680939E+00  -0.259981E+02   0.251631E+07   0.269244E+04
   190   0.531151E+04   0.673797E+00  -0.250135E+02   0.250287E+07   0.267012E+04
   191   0.532855E+04   0.667126E+00  -0.240025E+02   0.248955E+07   0.264805E+04
   192   0.534521E+04   0.660946E+00  -0.229675E+02   0.247635E+07   0.262621E+04
   193   0.536128E+04   0.655302E+00  -0.219098E+02   0.246325E+07   0.260460E+04
   194   0.537698E+04   0.650222E+00  -0.208273E+02   0.245026E+07   0.258320E+04
   195   0.539209E+04   0.645743E+00  -0.197223E+02   0.243738E+07   0.256200E+04
   196   0.540661E+04   0.641902E+00  -0.185939E+02   0.242461E+07   0.254101E+04
   197   0.542068E+04   0.638741E+00  -0.174437E+02   0.241194E+07   0.252020E+04
   198   0.543424E+04   0.636283E+00  -0.162709E+02   0.239938E+07   0.249957E+04
   199   0.544729E+04   0.634564E+00  -0.150763E+02   0.238692E+07   0.247911E+04
   200   0.545983E+04   0.633613E+00  -0.138606E+02   0.237456E+07   0.245882E+04
   201   0.547178E+04   0.633488E+00  -0.126230E+02   0.236230E+07   0.243867E+04
   202   0.548321E+04   0.634196E+00  -0.113652E+02   0.235014E+07   0.241868E+04
   203   0.549406E+04   0.635796E+00  -0.100862E+02   0.233808E+07   0.239884E+04
   204   0.550425E+04   0.638308E+00  -0.878906E+01   0.232612E+07   0.237915E+04
   205   0.551392E+04   0.641777E+00  -0.747156E+01   0.231426E+07   0.235960E+04
   206   0.552294E+04   0.646239E+00  -0.613493E+01   0.230249E+07   0.234021E+04
   207   0.553144E+04   0.651715E+00  -0.477962E+01   0.229082E+07   0.232096E+04
   208   0.553920E+04   0.658256E+00  -0.340612E+01   0.227924E+07   0.230186E+04
   209   0.554638E+04   0.665884E+00  -0.201480E+01   0.226775E+07   0.228290E+04
   210   0.555296E+04   0.674649E+00  -0.606537E+00   0.225636E+07   0.226409E+04
   211   0.555896E+04   0.684582E+00   0.818616E+00   0.224506E+07   0.224542E+04
   212   0.556423E+04   0.695709E+00   0.225973E+01   0.223385E+07   0.222689E+04
   213   0.556898E+04   0.708076E+00   0.371688E+01   0.222273E+07   0.220850E+04
   214   0.557306E+04   0.721673E+00   0.518884E+01   0.221170E+07   0.219026E+04
   215   0.557656E+04   0.736693E+00   0.667491E+01   0.220076E+07   0.217215E+04
   216   0.557939E+04   0.752949E+00   0.817560E+01   0.218991E+07   0.215419E+04
   217   0.558171E+04   0.770597E+00   0.968893E+01   0.217914E+07   0.213636E+04
   218   0.558337E+04   0.789636E+00   0.112151E+02   0.216847E+07   0.211867E+04
   219   0.558444E+04   0.810064E+00   0.127551E+02   0.215787E+07   0.210112E+04
